packageid,title,keyword
edi.100.4,"LAGOS-NE-LOCUS v1.01: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","ecological context"
edi.100.4,"LAGOS-NE-LOCUS v1.01: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","lake trophic state"
edi.100.4,"LAGOS-NE-LOCUS v1.01: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","eutrophication"
edi.1000.1,"The ecocomDP Annotation Dictionary","support package"
edi.1000.1,"The ecocomDP Annotation Dictionary","semantic web"
edi.1000.1,"The ecocomDP Annotation Dictionary","annotations"
edi.1001.1,"Morphological and life-history traits of birds from the Piedmont and Flooded Savannas of the Colombian Llanos","functional diversity"
edi.1001.1,"Morphological and life-history traits of birds from the Piedmont and Flooded Savannas of the Colombian Llanos","functional traits"
edi.1001.1,"Morphological and life-history traits of birds from the Piedmont and Flooded Savannas of the Colombian Llanos","Orinoquia"
edi.1001.1,"Morphological and life-history traits of birds from the Piedmont and Flooded Savannas of the Colombian Llanos","Morphometric traits"
edi.1001.1,"Morphological and life-history traits of birds from the Piedmont and Flooded Savannas of the Colombian Llanos","life-history traits"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Darwin Core Archive (DwC-A) Event Core"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","GBIF"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Global Biodiversity Information Facility"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Taxon: ScientificName"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","ExtendedMeasurementOrFact"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Event"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Occurrence"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Population Abundance"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Disturbance Patterns"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","populations"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","abundance"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","aquatic invertebrates"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","biomass"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","gastropods"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","invertebrates"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","long term"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","long term ecological research"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","LTER"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","macroinvertebrates"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","marine"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","measurements"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","mollusks"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","organism"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","populations"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Santa Barbara Coastal"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","species"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","transects"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Community Structure"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Kelp Forest"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","populations"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Reef"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Arroyo Quemado Reef"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Carpinteria Reef"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Mohawk Reef"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Naples Reef"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Cover"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Estimation"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Live Weight"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Reefs"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","Species"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","biomass"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","core"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","crustaceans"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","LTER"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","ongoing"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","communities"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","community composition"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","community dynamics"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","community patterns"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","species composition"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","species diversity"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","species richness"
edi.1003.1,"SBC LTER: Reef: Annual time series of biomass for kelp forest species, ongoing since 2000 (Reformatted to a Darwin Core Archive)","basisOfRecord: HumanObservation"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Nitrous Oxide"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Carbon Dioxide"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","N2O"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","CO2"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Greenhouse Gas"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Iowa"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Central Iowa"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Agriculture"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Corn"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Zea mays"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Soy"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Glycine max"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Soil"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Nitrogen"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Soil Carbon"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Soil Moisture"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Prairie Pothole"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Trace Gas Emissions"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Denitrification"
edi.1004.1,"Soil nitrous oxide (N2O) and carbon dioxide (CO2) flux from a Central Iowa crop field and accompanying soil edaphic and climatic variables.","Soil Drainage"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","Upper Clark Fork River restoration"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","NSF DEB LTREB 1655197"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","Montana"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","Northwestern United States"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","Northwestern Forested Mountains Ecoregion"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","river water"
edi.1005.1,"Concentration of dissolved organic carbon in water samples taken from the Upper Clark Fork River (Montana, USA) during water years 2017 and 2018 (1 Oct 2016 - 30 Sep 2018)","dissolved organic carbon"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Plant communities"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Plant species"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Plant biomass"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","surveys suspended sediment"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Limnology"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","water properties"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","coastal"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","aquatic plants"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","submerged aquatic vegetation"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Michigan Tech"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","Population and community properties"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","water properties"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","total nitrogen"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","total phosphorus"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","ammonium"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","nitrate"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","dissolved organic carbon"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","chlorophyll a"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","soluble reactive phosphorus"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","chemical properties"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","water column"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","light"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","lakes"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","algae"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","seston"
edi.1006.1,"Water chemistry and aquatic vegetation data from Les Cheneaux Islands, Northern Lake Huron, Michigan, USA, 2016-2018","vascular plants"
edi.1007.2,"New England Enhanced Forest Inventory","spatial raster"
edi.1007.2,"New England Enhanced Forest Inventory","Enhanced Forest Inventory"
edi.1007.2,"New England Enhanced Forest Inventory","ALS"
edi.1007.2,"New England Enhanced Forest Inventory","Forest Biomass"
edi.1007.2,"New England Enhanced Forest Inventory","New England"
edi.1007.2,"New England Enhanced Forest Inventory","Forest Ecology"
edi.1007.2,"New England Enhanced Forest Inventory","Forest Map"
edi.1007.2,"New England Enhanced Forest Inventory","LiDAR"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","phosphorus"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","sediments"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","spatial variability"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","seasonality"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","ecosystems"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","limnology"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","biogeochemistry"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","nutrient cycling"
edi.1008.1,"Spatiotemporal variation in internal phosphorus loading, sediment characteristics, water column chemistry, and thermal mixing in a hypereutrophic reservoir in southwest Iowa, USA (2019-2020)","water temperature"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","soil carbon"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","soil chemistry"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","soil horizons"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","soil organic matter"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","radiocarbon"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","density fraction"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites","calcium carbonate"
edi.1009.2,"Soil Organic Matter Mechanisms of Stabilization (SOMMOS) - enhanced soil characterization data from 40 National Ecological Observatory Network (NEON) sites"," oxyhydroxides"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","Macrosystems Biology"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","MSB"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","Cross-scale Interactions"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","CSI"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","National Science Foundation"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","NSF"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","multi-scaled"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","geospatial"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","temporal"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","database"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","LAGOS"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","LAGOS-NE"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","water clarity"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","ecological context"
edi.101.3,"LAGOS-NE-LIMNO v1.087.3: A module for LAGOS-NE, a multi-scaled geospatial and temporal database of lake ecological context and water quality for thousands of U.S. Lakes: 1925-2013","lake trophic state"
